#CODE;ENGLISH;ENGLISH
MARQUIS_OF;Marquisate of;Marquisate of
MARQUIS;Marquis;Marquis
MARQUIS_FOA;your most honourableness;your most honourableness
DUKECOUNT;Count;Count
DUKECOUNT_FOA;your right honourableness;your right honourableness
DUKECOUNT_OF;County of;County of
DUKEKING;King;King
DUKEKING_FOA;your highness;your highness
DUKEKING_OF;Kingdom of;Kingdom of
DUKEPRINCE;Prince;Prince
DUKEPRINCE_FOA;your highness;your highness
DUKEPRINCE_OF;Principality of;Principality of
VOIVODE;Voivode;Voivode
VOIVODE_OF;Voivodeship of;Voivodeship of
PALATINE;Count Palatine;Pfalzgraf
PALATINEA;Countess Palatine;Pfalzgräfin
PALATINE_FOA;your right honourableness;your right honourableness
PALATINE_OF;Palatinate of the Rhine;Pfalzgrafschaft bei Rhein
ARCHDUKE;Archduke;Archduke
ARCHDUKE_OF;Archduchy of;Archduchy of
GRANDDUKE;Grand Duke;Didžioji Kunigaikštyste
GRANDDUKE_FOA;your grace;your grace
GRANDDUKE_OF;Grand Duchy of;Grandduchy of
DUKEDESPOT;Despot;Despot
DUKEDESPOT_FOA;your lordship;your lordship
DUKEDESPOT_OF;Despotate of;Despotate of
title_dauphine_of_france;Dauphin;Le Dauphin
title_dauphine_of_france_FOA;your grace;your grace
KINGDUKE;Duke;Herzog
KINGDUKE_female;Duchess;Herzogin
KINGDUKE_FOA;your highness;your highness
KINGDUKE_OF;Duchy;Herzogtum
KINGCA;Duke;Herzog
KINGCA_FOA;your highness;your highness
KINGCA_OF;Duchy of;Herzogtum of
title_king_of_romans;King of Romans;King of Romans
title_king_of_romans_FOA;your grace;your grace
title_king_of_romans_desc;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent of the holy roman empire.;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent of the holy roman empire.
title_dauphine_of_france_desc;Title bestowed upon the heir apparent of the kingdom of France. The usages began in 1350(the king had aquired the title in 1349 from Humbert II who had sold the title along with his feudal estates) when Charles the 5th assumed the title, and ended in 1791(french revoultion), it did however reapear breifly during the short reign of the restored Bourbon monarchy(1824-1830);Title bestowed upon the heir apparent of the kingdom of France. The usages began in 1350(the king had aquired the title in 1349 from Humbert II who had sold the title along with his feudal estates) when Charles the 5th assumed the title, and ended in 1791(french revoultion), it did however reapear breifly during the short reign of the restored Bourbon monarchy(1824-1830)
EF;Sun King;Roi-Soleil
EF_FOA;your highness;your highness
EF_OF;Kingdom of;Royaume de
EN;King;Konung
EN_FOA;your highness;your highness
EN_OF;Union of;Union of
EP;King;Król
EP_FOA;your highness;your highness
EP_OF;Commonwealth of;Commonwealth of
KINGEMPEROR;Emperor;Megas Komnenos
KINGEMPEROR_FOA;your grace;your grace
KINGEMPEROR_OF;Empire of;Empire of
EI;Emperor;Emperador
EI_FOA;your highness;your highness
EI_OF;Union of;Union of
DM;Margrave;Kniez
DM_FOA;your highness;your highness
DM_OF;Margraviate of;Markrabstvi of
DB;Margrave;Kniez
DB_FOA;your highness;your highness
DB_OF;Margraviate of;Kniezectwi of
DESPOT;Despot;Despot
DESPOT_FOA;your highness;your highness
DESPOT_OF;Despotate of;Despotate of
FE;Archbishop;Erzbischof
FE_FOA;your holyness;your holyness
FE_OF;Arcbishopric of;Fürst-Erzbistum
title_archchancellor_of_germany;Archchancellor of Germany;Erzkanzler von Deutschland
title_archchancellor_of_germany_FOA;your holyness;your holyness
title_archchancellor_of_germany_desc;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Mainz was reserved the right to hold the Arch-Chancellery of Germany;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Mainz was reserved the right to hold the Arch-Chancellery of Germany
title_archchancellor_of_burgundy;Archchancellor of Burgundy;Erzkanzler von Burgund
title_archchancellor_of_burgundy_FOA;your holyness;your holyness
title_archchancellor_of_burgundy_desc;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Trier was reserved the right to hold the Arch-Chancellery of Burgundy ;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Trier was reserved the right to hold the Arch-Chancellery of Burgundy 
title_archchancellor_of_italy;Archchancellor of Italy;Erzkanzler von Italien
title_archchancellor_of_italy_FOA;your holyness;your holyness
title_archchancellor_of_italy_desc;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Köln  was reserved the right to hold the Arch-Chancellery of Italy;Among the high offices of the empire, the office as Arch-Chancellor was split into three, one for each of the clerigical electors. The Archbishop of Köln  was reserved the right to hold the Arch-Chancellery of Italy
title_archcupbearer_of_hre;Archcupbearer;Erzmundschenk
title_archcupbearer_of_hre_FOA;your serene highness;your serene highness
title_archcupbearer_of_hre_desc;The title of Archcupbearer was reserved for the king of Bohemia, like most of the electors the king of Bohemia only assumed his responsibilties at the coronation of the emperor, where he unlike the other holders of high offices did'nt beare any of the  the imperial regalia. Due to not carrying any of the regalia, the office of Archcupbearer unlike the high offices didn't come with a augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Althann.;The title of Archcupbearer was reserved for the king of Bohemia, like most of the electors the king of Bohemia only assumed his responsibilties at the coronation of the emperor, where he unlike the other holders of high offices did'nt beare any of the  the imperial regalia. Due to not carrying any of the regalia, the office of Archcupbearer unlike the high offices didn't come with a augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Althann.
title_archsteward_of_hre;Archsteward;Erztruchseß
title_archsteward_of_hre_FOA;your serene highness;your serene highness
title_archsteward_of_hre_desc;The title of Archsteward was given to either the Duke of Bavaria or the count Palatine, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the golden orb. The golden orb was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of Archsteward, it was to be portrayed as a golden orb on a red field. The daily duties of the office was delegated to the count of Waldburg.;The title of Archsteward was given to either the Duke of Bavaria or the count Palatine, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the golden orb. The golden orb was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of Archsteward, it was to be portrayed as a golden orb on a red field. The daily duties of the office was delegated to the count of Waldburg.
title_archmarshal_of_hre;Archmarshall;Erzmarschall
title_archmarshal_of_hre_FOA;your serene highness;your serene highness
title_archmarshal_of_hre_desc;The title of archmarshal was given to the elector of Saxony(firstly the duke of Saxony, and after the dissultion of the old duchy the honor was granted to the duke of Saxe-Wittenberg), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the sword. The sword was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archmarshal, it was to be portrayed as two crossed red swords on a black and white field. The daily duties of the office was delegated to the count of Pappenheim.;The title of archmarshal was given to the elector of Saxony(firstly the duke of Saxony, and after the dissultion of the old duchy the honor was granted to the duke of Saxe-Wittenberg), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the sword. The sword was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archmarshal, it was to be portrayed as two crossed red swords on a black and white field. The daily duties of the office was delegated to the count of Pappenheim.
title_archchamberlain_of_hre;Archchamberlain;Erzkämmerer
title_archchamberlain_of_hre_FOA;your serene highness;your serene highness
title_archchamberlain_of_hre_desc;The title of archchamberlin was given to the margrave of Brandenburg, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the scepter. The scepter was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archchamberlin, it was to be portrayed as a golden scepter on a blue field. The daily duties of the office was delegated to the count of Hohenzollern(you could say, it stayed in the family..).;The title of archchamberlin was given to the margrave of Brandenburg, like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the scepter. The scepter was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archchamberlin, it was to be portrayed as a golden scepter on a blue field. The daily duties of the office was delegated to the count of Hohenzollern(you could say, it stayed in the family..).
title_archtreasurer_of_hre;Archtreasurer;Erzschatzmeister
title_archtreasurer_of_hre_FOA;your serene highness;your serene highness
title_archtreasurer_of_hre_desc;The title of archtreasurer was given to the count Palatine in 1623 when the Duke of Bavaria replaced the count as Archsenechal(the title of archtreasurer had not exsisted before), when the Bavarian duke fell out of favour again the Count Palatine resumed the title of Archsenchal and the duke of Hanover made the new archtreasurer(when the duke of Bavaria got reconciled the count reasumed the dignity of Archtreasuer).  Like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the crown of Charlemagne(Charlemagne never wore it as it was made several hundered years after his death). The crown was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archtreasurer, it was to be portrayed as a golden cown on a red field. The daily duties of the office was delegated to the count of Sinzendorf.;The title of archtreasurer was given to the count Palatine in 1623 when the Duke of Bavaria replaced the count as Archsenechal(the title of archtreasurer had not exsisted before), when the Bavarian duke fell out of favour again the Count Palatine resumed the title of Archsenchal and the duke of Hanover made the new archtreasurer(when the duke of Bavaria got reconciled the count reasumed the dignity of Archtreasuer).  Like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, where he carried the crown of Charlemagne(Charlemagne never wore it as it was made several hundered years after his death). The crown was also the augmentation(special symbol to be placed in the center of the coat of arm) that came with the  office of archtreasurer, it was to be portrayed as a golden cown on a red field. The daily duties of the office was delegated to the count of Sinzendorf.
title_archbannerbearer_of_hre;Archbannerbearer;Erzbannerträger
title_archbannerbearer_of_hre_FOA;your serene highness;your serene highness
title_archbannerbearer_of_hre_desc;The title of archbannerbearer was given to the duke of Hanover when the Duke of Bavaria replaced the count Palatine as Archsenechal for the second time in 1718(the title of archbannerbearer had not exsisted before), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, but at this point there was nothing left to carry and the office didn't come with an augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Zeppelin-Aschhausen.;The title of archbannerbearer was given to the duke of Hanover when the Duke of Bavaria replaced the count Palatine as Archsenechal for the second time in 1718(the title of archbannerbearer had not exsisted before), like most of the electors the holder only assumed his responsibilties at the coronation of the emperor, but at this point there was nothing left to carry and the office didn't come with an augmentation(special symbol to be placed in the center of the coat of arm). The daily duties of the office was delegated to the count of Zeppelin-Aschhausen.
title_erzherzog_of_osterreich;Archduke;Erzherzog
